experiment_TF	experiment_TF_family	best_motif	best_auc	tfs_of_best_motif	best_motifs_family
NFKB1	NF-kappaB-related factors{6.1.1}	NFKB2_HUMAN.H11MO.0.B	0.96082	NFKB2	NF-kappaB-related factors{6.1.1}
NFKB2	NF-kappaB-related factors{6.1.1}	NFKB2_HUMAN.H11MO.0.B	0.92696	NFKB2	NF-kappaB-related factors{6.1.1}
NFRKB	unknown	ZFP42_HUMAN.H11MO.0.A	0.66324	ZFP42	More than 3 adjacent zinc finger factors{2.3.3}
NFYA	Heteromeric CCAAT-binding factors{4.2.1}	NFYB_HUMAN.H11MO.0.A	0.93068	NFYB	Heteromeric CCAAT-binding factors{4.2.1}
NFYB	Heteromeric CCAAT-binding factors{4.2.1}	NFYB_HUMAN.H11MO.0.A	0.9750775	NFYB	Heteromeric CCAAT-binding factors{4.2.1}
NIPBL	unknown	GABPA_HUMAN.H11MO.0.A	0.6673533333333334	GABPA	Ets-related factors{3.5.2}
NME2	unknown	EGR2_HUMAN.H11MO.1.A	0.94501	EGR2	Three-zinc finger Krüppel-related factors{2.3.1}
NONO	NonO-related factors{0.2.1}	CTCFL_HUMAN.H11MO.0.A	0.67014	CTCFL	More than 3 adjacent zinc finger factors{2.3.3}
NOTCH1	unknown	MA0760.1_ERF	0.6673266666666667	ERF	Ets-related factors{3.5.2}
NR1H2	Thyroid hormone receptor-related factors (NR1){2.1.2}	FOSL1_HUMAN.H11MO.0.A	0.7020200000000001	FOSL1	Fos-related factors{1.1.2}
NR2C2	RXR-related receptors (NR2){2.1.3}	NR2C2_HUMAN.H11MO.0.B	0.80649	NR2C2	RXR-related receptors (NR2){2.1.3}
NR2F1	RXR-related receptors (NR2){2.1.3}	MA0017.2_NR2F1	0.83267	NR2F1	RXR-related receptors (NR2){2.1.3}
NR2F2	RXR-related receptors (NR2){2.1.3}	MA1111.1_NR2F2	0.817656	NR2F2	RXR-related receptors (NR2){2.1.3}
NR2F6	RXR-related receptors (NR2){2.1.3}	COT2_HUMAN.H11MO.0.A	0.87487	NR2F2	RXR-related receptors (NR2){2.1.3}
NR3C1	Steroid hormone receptors (NR3){2.1.1}	MA0727.1_NR3C2	0.7680742857142857	NR3C2	Steroid hormone receptors (NR3){2.1.1}
NR4A1	NGFI-B-related receptors (NR4){2.1.4}	NR4A1_HUMAN.H11MO.0.A	0.87845	NR4A1	NGFI-B-related receptors (NR4){2.1.4}
NRF1	NRF{0.0.6}	NRF1_HUMAN.H11MO.0.A	0.9723527272727274	NRF1	NRF{0.0.6}
NRIP1	unknown	MA0258.2_ESR2	0.84667	ESR2	Steroid hormone receptors (NR3){2.1.1}
NSD2	WHSC1-related factors{4.1.5}	HEN1_HUMAN.H11MO.0.C	0.61988	NHLH1	Tal-related factors{1.2.3}
OCA2	unknown	NRF1_HUMAN.H11MO.0.A	0.68321	NRF1	NRF{0.0.6}
ONECUT1	HD-CUT factors{3.1.9}	HNF6_HUMAN.H11MO.0.B	0.969275	ONECUT1	HD-CUT factors{3.1.9}
OTX2	Paired-related HD factors{3.1.3}	MA0712.1_OTX2	0.88041	OTX2	Paired-related HD factors{3.1.3}
PAX5	Paired domain only{3.2.2}	MA0781.1_PAX9	0.8122619999999999	PAX9	Paired domain only{3.2.2}
PAX6	Paired plus homeo domain{3.2.1}	MA1142.1_FOSL1::JUND	0.73552	FOSL1:JUND	ambiguous
PAX8	Paired domain only{3.2.2}	MA1125.1_ZNF384	0.5963	ZNF384	More than 3 adjacent zinc finger factors{2.3.3}
PBX2	TALE-type homeo domain factors{3.1.4}	PBX3_HUMAN.H11MO.1.A	0.82831	PBX3	TALE-type homeo domain factors{3.1.4}
PBX3	TALE-type homeo domain factors{3.1.4}	PBX3_HUMAN.H11MO.1.A	0.75243	PBX3	TALE-type homeo domain factors{3.1.4}
PCGF2	unknown	HOMEZ_HUMAN.H11MO.0.D	0.63707	HOMEZ	HD-ZF factors{3.1.8}
PDX1	HOX-related factors{3.1.1}	MEIS1_HUMAN.H11MO.0.A	0.8457066666666666	MEIS1	TALE-type homeo domain factors{3.1.4}
PGR	Steroid hormone receptors (NR3){2.1.1}	GCR_HUMAN.H11MO.0.A	0.8783263636363636	NR3C1	Steroid hormone receptors (NR3){2.1.1}
PHF8	unknown	MBD2_HUMAN.H11MO.0.B	0.6544566666666666	MBD2	unknown
PIAS1	unknown	FOXA1_HUMAN.H11MO.0.A	0.83858	FOXA1	Forkhead box (FOX) factors{3.3.1}
PKNOX1	TALE-type homeo domain factors{3.1.4}	PBX3_HUMAN.H11MO.1.A	0.91023	PBX3	TALE-type homeo domain factors{3.1.4}
PML	unknown	TAL1_HUMAN.H11MO.0.A	0.6168933333333334	TAL1	Tal-related factors{1.2.3}
POU2F2	POU domain factors{3.1.10}	PO2F2_HUMAN.H11MO.0.A	0.7270075	POU2F2	POU domain factors{3.1.10}
POU4F2	POU domain factors{3.1.10}	NRF1_HUMAN.H11MO.0.A	0.68825	NRF1	NRF{0.0.6}
POU5F1	POU domain factors{3.1.10}	PO5F1_HUMAN.H11MO.0.A	0.741507	POU5F1	POU domain factors{3.1.10}
PPARG	Thyroid hormone receptor-related factors (NR1){2.1.2}	PPARA_HUMAN.H11MO.0.B	0.7512383333333333	PPARA	Thyroid hormone receptor-related factors (NR1){2.1.2}
PRDM14	More than 3 adjacent zinc finger factors{2.3.3}	PRD14_HUMAN.H11MO.0.A	0.78225	PRDM14	More than 3 adjacent zinc finger factors{2.3.3}
PRKDC	unknown	CTCFL_HUMAN.H11MO.0.A	0.82138	CTCFL	More than 3 adjacent zinc finger factors{2.3.3}
PROX1	HD-PROS factors{3.1.7}	MA1137.1_FOSL1::JUNB	0.75567	FOSL1:JUNB	ambiguous
RAD21	unknown	CTCF_HUMAN.H11MO.0.A	0.9815309090909091	CTCF	More than 3 adjacent zinc finger factors{2.3.3}
RAD51	unknown	USF1_HUMAN.H11MO.0.A	0.99439	USF1	bHLH-ZIP factors{1.2.6}
RARA	Thyroid hormone receptor-related factors (NR1){2.1.2}	MA0028.2_ELK1	0.75816	ELK1	Ets-related factors{3.5.2}
RB1	unknown	CTCFL_HUMAN.H11MO.0.A	0.80207	CTCFL	More than 3 adjacent zinc finger factors{2.3.3}
RBBP5	unknown	MBD2_HUMAN.H11MO.0.B	0.662695	MBD2	unknown
RBPJ	CSL-related factors{6.1.4}	GABPA_HUMAN.H11MO.0.A	0.6670659999999999	GABPA	Ets-related factors{3.5.2}
RCOR1	Myb/SANT domain factors{3.5.1}	NF2L1_HUMAN.H11MO.0.C	0.605245	NFE2L1	Jun-related factors{1.1.1}
RELA	NF-kappaB-related factors{6.1.1}	TF65_HUMAN.H11MO.0.A	0.761501875	RELA	NF-kappaB-related factors{6.1.1}
RELB	NF-kappaB-related factors{6.1.1}	TF65_HUMAN.H11MO.0.A	0.93681	RELA	NF-kappaB-related factors{6.1.1}
RFX5	RFX-related factors{3.3.3}	RFX5_HUMAN.H11MO.0.A	0.8218316666666666	RFX5	RFX-related factors{3.3.3}
RNF2	unknown	MYCN_HUMAN.H11MO.0.A	0.6074174999999999	MYCN	bHLH-ZIP factors{1.2.6}
RUNX1	Runt-related factors{6.4.1}	MA0684.1_RUNX3	0.7937888888888889	RUNX3	Runt-related factors{6.4.1}
RUNX1T1	unknown	MA0684.1_RUNX3	0.760555	RUNX3	Runt-related factors{6.4.1}
RUNX2	Runt-related factors{6.4.1}	MA0684.1_RUNX3	0.712615	RUNX3	Runt-related factors{6.4.1}
RUNX3	Runt-related factors{6.4.1}	RUNX3_HUMAN.H11MO.0.A	0.93855	RUNX3	Runt-related factors{6.4.1}
RXR	RXR-related receptors (NR2){2.1.3}	MA0677.1_Nr2f6	0.6510125	NR2F6	RXR-related receptors (NR2){2.1.3}
RXRA	RXR-related receptors (NR2){2.1.3}	MA0017.2_NR2F1	0.6425966666666666	NR2F1	RXR-related receptors (NR2){2.1.3}
SAP30	unknown	MA0823.1_HEY1	0.6271249999999999	HEY1	Hairy-related factors{1.2.4}
SETDB1	unknown	CTCF_HUMAN.H11MO.0.A	0.570955	CTCF	More than 3 adjacent zinc finger factors{2.3.3}
SFMBT1	unknown	NRF1_HUMAN.H11MO.0.A	0.63312	NRF1	NRF{0.0.6}
SIN3A	unknown	MA0028.2_ELK1	0.6337838461538462	ELK1	Ets-related factors{3.5.2}
SIN3B	unknown	MA0028.2_ELK1	0.736335	ELK1	Ets-related factors{3.5.2}
SIRT6	unknown	ZIC2_HUMAN.H11MO.0.D	0.55711	ZIC2	More than 3 adjacent zinc finger factors{2.3.3}
SIX2	HD-SINE factors{3.1.6}	SIX1_HUMAN.H11MO.0.A	0.9178933333333333	SIX1	HD-SINE factors{3.1.6}
SIX5	HD-SINE factors{3.1.6}	ZNF76_HUMAN.H11MO.0.C	0.789335	ZNF76	More than 3 adjacent zinc finger factors{2.3.3}
SMAD1	SMAD factors{7.1.1}	CTCF_HUMAN.H11MO.0.A	0.8318433333333334	CTCF	More than 3 adjacent zinc finger factors{2.3.3}
SMAD2	SMAD factors{7.1.1}	SMAD4_HUMAN.H11MO.0.B	0.77793	SMAD4	SMAD factors{7.1.1}
SMAD3	SMAD factors{7.1.1}	MA0696.1_ZIC1	0.68734125	ZIC1	More than 3 adjacent zinc finger factors{2.3.3}
SMAD4	SMAD factors{7.1.1}	SMAD4_HUMAN.H11MO.0.B	0.81951	SMAD4	SMAD factors{7.1.1}
SMAD5	SMAD factors{7.1.1}	MA0028.2_ELK1	0.614645	ELK1	Ets-related factors{3.5.2}
SMARCA4	unknown	TAL1_HUMAN.H11MO.0.A	0.555585	TAL1	Tal-related factors{1.2.3}
SMARCB1	unknown	MA0506.1_NRF1	0.6205499999999999	NRF1	NRF{0.0.6}
SMARCC1	Myb/SANT domain factors{3.5.1}	FOSL1_HUMAN.H11MO.0.A	0.79647	FOSL1	Fos-related factors{1.1.2}
SMARCC2	Myb/SANT domain factors{3.5.1}	FOSL1_HUMAN.H11MO.0.A	0.67222	FOSL1	Fos-related factors{1.1.2}
SMC1A	unknown	CTCF_HUMAN.H11MO.0.A	0.98786	CTCF	More than 3 adjacent zinc finger factors{2.3.3}
SMC3	unknown	CTCF_HUMAN.H11MO.0.A	0.9466455555555555	CTCF	More than 3 adjacent zinc finger factors{2.3.3}
SNAI2	More than 3 adjacent zinc finger factors{2.3.3}	SNAI2_HUMAN.H11MO.0.A	0.9533675	SNAI2	More than 3 adjacent zinc finger factors{2.3.3}
SND1	unknown	SUH_HUMAN.H11MO.0.A	0.79393	RBPJ	CSL-related factors{6.1.4}
SOX11	SOX-related factors{4.1.1}	SOX3_HUMAN.H11MO.0.B	0.59634	SOX3	SOX-related factors{4.1.1}
SOX13	SOX-related factors{4.1.1}	MA0077.1_SOX9	0.80286	SOX9	SOX-related factors{4.1.1}
SOX2	SOX-related factors{4.1.1}	MA1152.1_SOX15	0.794937	SOX15	SOX-related factors{4.1.1}
SOX6	SOX-related factors{4.1.1}	MA0037.3_GATA3	0.89425	GATA3	GATA-type zinc fingers{2.2.1}
SOX9	SOX-related factors{4.1.1}	SOX9_HUMAN.H11MO.1.B	0.726	SOX9	SOX-related factors{4.1.1}
SP1	Three-zinc finger Krüppel-related factors{2.3.1}	MA0060.3_NFYA	0.7020571428571428	NFYA	Heteromeric CCAAT-binding factors{4.2.1}
SP2	Three-zinc finger Krüppel-related factors{2.3.1}	NFYB_HUMAN.H11MO.0.A	0.85415	NFYB	Heteromeric CCAAT-binding factors{4.2.1}
SP4	Three-zinc finger Krüppel-related factors{2.3.1}	SP1_HUMAN.H11MO.1.A	0.74402	SP1	Three-zinc finger Krüppel-related factors{2.3.1}
SPI1	Ets-related factors{3.5.2}	SPIB_HUMAN.H11MO.0.A	0.9520160714285714	SPIB	Ets-related factors{3.5.2}
SPIB	Ets-related factors{3.5.2}	SPIB_HUMAN.H11MO.0.A	0.9831133333333334	SPIB	Ets-related factors{3.5.2}
SREBF1	bHLH-ZIP factors{1.2.6}	MA0828.1_SREBF2_var.2	0.762545	SREBF2	bHLH-ZIP factors{1.2.6}
SREBF2	bHLH-ZIP factors{1.2.6}	NR5A2_HUMAN.H11MO.0.B	0.55918	NR5A2	FTZ-F1-related receptors (NR5){2.1.5}
SRF	Responders to external signals (SRF/RLM1){5.1.2}	SRF_HUMAN.H11MO.0.A	0.79153	SRF	Responders to external signals (SRF/RLM1){5.1.2}
SSRP1	WHSC1-related factors{4.1.5}	ZN436_HUMAN.H11MO.0.C	0.59744	ZNF436	More than 3 adjacent zinc finger factors{2.3.3}
STAG1	unknown	CTCF_HUMAN.H11MO.0.A	0.96915	CTCF	More than 3 adjacent zinc finger factors{2.3.3}
STAT1	STAT factors{6.2.1}	MA0136.2_ELF5	0.7189666666666666	ELF5	Ets-related factors{3.5.2}
STAT3	STAT factors{6.2.1}	STAT3_HUMAN.H11MO.0.A	0.7625428571428571	STAT3	STAT factors{6.2.1}
STAT5A	STAT factors{6.2.1}	STAT4_HUMAN.H11MO.0.A	0.6352766666666666	STAT4	STAT factors{6.2.1}
STAT5B	STAT factors{6.2.1}	STA5B_HUMAN.H11MO.0.A	0.8233349999999999	STAT5B	STAT factors{6.2.1}
SUZ12	unknown	NRF1_HUMAN.H11MO.0.A	0.62788625	NRF1	NRF{0.0.6}
TBXT	Brachyury-related factors{6.5.1}	MA0696.1_ZIC1	0.7914950000000001	ZIC1	More than 3 adjacent zinc finger factors{2.3.3}
TAF1	TCF-7-related factors{4.1.3}	MA0028.2_ELK1	0.6660007692307693	ELK1	Ets-related factors{3.5.2}
TAF3	unknown	MBD2_HUMAN.H11MO.0.B	0.64995	MBD2	unknown
TAF7	unknown	TYY2_HUMAN.H11MO.0.D	0.6411199999999999	YY2	More than 3 adjacent zinc finger factors{2.3.3}
TAL1	Tal-related factors{1.2.3}	TAL1_HUMAN.H11MO.0.A	0.7969392857142857	TAL1	Tal-related factors{1.2.3}
TAL1_SCL	Tal-related factors{1.2.3}	TAL1_HUMAN.H11MO.0.A	0.95401	TAL1	Tal-related factors{1.2.3}
TARDBP	unknown	MA0472.2_EGR2	0.62654	EGR2	Three-zinc finger Krüppel-related factors{2.3.1}
TBL1X	unknown	NRF1_HUMAN.H11MO.0.A	0.73184	NRF1	NRF{0.0.6}
TBL1XR1	unknown	TAL1_HUMAN.H11MO.0.A	0.6271266666666667	TAL1	Tal-related factors{1.2.3}
TBP	TBP-related factors{8.1.1}	SP1_HUMAN.H11MO.1.A	0.63886	SP1	Three-zinc finger Krüppel-related factors{2.3.1}
TBX21	TBrain-related factors{6.5.2}	MA0688.1_TBX2	0.78983	TBX2	TBX2-related factors{6.5.4}
TCF12	E2A-related factors{1.2.1}	MA0500.1_Myog	0.6773754545454546	MYOG	MyoD / ASC-related factors{1.2.2}
TCF25	Nuclear localized protein 1{0.0.1}	MA0761.1_ETV1	0.64617	ETV1	Ets-related factors{3.5.2}
TCF3	E2A-related factors{1.2.1}	MA0500.1_Myog	0.773015	MYOG	MyoD / ASC-related factors{1.2.2}
TCF4	E2A-related factors{1.2.1}	TF7L1_HUMAN.H11MO.0.B	0.7941199999999999	TCF7L1	TCF-7-related factors{4.1.3}
TCF7	TCF-7-related factors{4.1.3}	TF7L2_HUMAN.H11MO.0.A	0.8055049999999999	TCF7L2	TCF-7-related factors{4.1.3}
TCF7L2	TCF-7-related factors{4.1.3}	TF7L2_HUMAN.H11MO.0.A	0.8092525	TCF7L2	TCF-7-related factors{4.1.3}
TEAD1	TEF-1-related factors{3.6.1}	TEAD4_HUMAN.H11MO.0.A	0.90307	TEAD4	TEF-1-related factors{3.6.1}
TEAD4	TEF-1-related factors{3.6.1}	MA0809.1_TEAD4	0.7793407692307692	TEAD4	TEF-1-related factors{3.6.1}
TERF1	unknown	GABPA_HUMAN.H11MO.0.A	0.70414	GABPA	Ets-related factors{3.5.2}
TERF2	unknown	GABPA_HUMAN.H11MO.0.A	0.71068	GABPA	Ets-related factors{3.5.2}
TFAP2A	AP-2{1.3.1}	AP2C_HUMAN.H11MO.0.A	0.87337	TFAP2C	AP-2{1.3.1}
TFAP2C	AP-2{1.3.1}	AP2C_HUMAN.H11MO.0.A	0.9057575	TFAP2C	AP-2{1.3.1}
TFAP4	bHLH-ZIP factors{1.2.6}	TFAP4_HUMAN.H11MO.0.A	0.9310225	TFAP4	bHLH-ZIP factors{1.2.6}
TFDP1	E2F-related factors{3.3.2}	MA0470.1_E2F4	0.664925	E2F4	E2F-related factors{3.3.2}
TGIF2	TALE-type homeo domain factors{3.1.4}	MA0774.1_MEIS2	0.65978	MEIS2	TALE-type homeo domain factors{3.1.4}
THAP1	THAP-related factors{2.9.1}	MA0062.2_Gabpa	0.69726	GABPA	Ets-related factors{3.5.2}
TLE3	unknown	FOXA2_HUMAN.H11MO.0.A	0.82407	FOXA2	Forkhead box (FOX) factors{3.3.1}
TOP1	unknown	OVOL2_HUMAN.H11MO.0.D	0.53316	OVOL2	More than 3 adjacent zinc finger factors{2.3.3}
TP53	p53-related factors{6.3.1}	P63_HUMAN.H11MO.0.A	0.7958733333333333	TP63	p53-related factors{6.3.1}
TP63	p53-related factors{6.3.1}	P63_HUMAN.H11MO.0.A	0.976932	TP63	p53-related factors{6.3.1}
TRIM22	unknown	CTCFL_HUMAN.H11MO.0.A	0.92338	CTCFL	More than 3 adjacent zinc finger factors{2.3.3}
TRIM24	unknown	MBD2_HUMAN.H11MO.0.B	0.66776	MBD2	unknown
TRIM28	unknown	ZIC2_HUMAN.H11MO.0.D	0.5834857142857143	ZIC2	More than 3 adjacent zinc finger factors{2.3.3}
TWIST1	Tal-related factors{1.2.3}	TWST1_HUMAN.H11MO.0.A	0.9260366666666666	TWIST1	Tal-related factors{1.2.3}
UBN1	unknown	MA0624.1_NFATC1	0.65301	NFATC1	NFAT-related factors{6.1.3}
UBTF	UBF-related factors{4.1.6}	MBD2_HUMAN.H11MO.0.B	0.6980766666666667	MBD2	unknown
USF1	bHLH-ZIP factors{1.2.6}	USF1_HUMAN.H11MO.0.A	0.9789227272727273	USF1	bHLH-ZIP factors{1.2.6}
USF2	bHLH-ZIP factors{1.2.6}	USF1_HUMAN.H11MO.0.A	0.9813600000000001	USF1	bHLH-ZIP factors{1.2.6}
USP7	unknown	CTCF_HUMAN.H11MO.0.A	0.6144	CTCF	More than 3 adjacent zinc finger factors{2.3.3}
VDR	Thyroid hormone receptor-related factors (NR1){2.1.2}	VDR_HUMAN.H11MO.0.A	0.7536849999999999	VDR	Thyroid hormone receptor-related factors (NR1){2.1.2}
XBP1	XBP-1-related factors{1.1.5}	CR3L1_HUMAN.H11MO.0.D	0.7107650000000001	CREB3L1	CREB-related factors{1.1.7}
YAP1	unknown	MA0809.1_TEAD4	0.86221	TEAD4	TEF-1-related factors{3.6.1}
YY1	More than 3 adjacent zinc finger factors{2.3.3}	TYY2_HUMAN.H11MO.0.D	0.91954	YY2	More than 3 adjacent zinc finger factors{2.3.3}
ZBED1	BED zinc finger factors{2.3.5}	MA0684.1_RUNX3	0.6162449999999999	RUNX3	Runt-related factors{6.4.1}
ZBTB11	More than 3 adjacent zinc finger factors{2.3.3}	MA0028.2_ELK1	0.82082	ELK1	Ets-related factors{3.5.2}
ZBTB33	Other factors with up to three adjacent zinc fingers{2.3.2}	MA0527.1_ZBTB33	0.7465824999999999	ZBTB33	Other factors with up to three adjacent zinc fingers{2.3.2}
ZBTB7A	More than 3 adjacent zinc finger factors{2.3.3}	ZBT7A_HUMAN.H11MO.0.A	0.7277666666666667	ZBTB7A	More than 3 adjacent zinc finger factors{2.3.3}
ZC3H11A	unknown	FOXL1_HUMAN.H11MO.0.D	0.98846	FOXL1	Forkhead box (FOX) factors{3.3.1}
ZC3H8	ZC3H8-related factors{2.8.1}	CTCFL_HUMAN.H11MO.0.A	0.69472	CTCFL	More than 3 adjacent zinc finger factors{2.3.3}
ZEB1	HD-ZF factors{3.1.8}	MA0103.3_ZEB1	0.7230833333333333	ZEB1	HD-ZF factors{3.1.8}
ZEB2	HD-ZF factors{3.1.8}	GATA1_HUMAN.H11MO.0.A	0.738865	GATA1	GATA-type zinc fingers{2.2.1}
ZFP36	unknown	ZN436_HUMAN.H11MO.0.C	0.7535833333333333	ZNF436	More than 3 adjacent zinc finger factors{2.3.3}
ZFX	More than 3 adjacent zinc finger factors{2.3.3}	ZFX_HUMAN.H11MO.0.A	0.8023333333333333	ZFX	More than 3 adjacent zinc finger factors{2.3.3}
ZHX1	HD-ZF factors{3.1.8}	CTCFL_HUMAN.H11MO.0.A	0.6799866666666667	CTCFL	More than 3 adjacent zinc finger factors{2.3.3}
ZHX2	HD-ZF factors{3.1.8}	MA0604.1_Atf1	0.74576	ATF1	CREB-related factors{1.1.7}
ZKSCAN1	More than 3 adjacent zinc finger factors{2.3.3}	ZKSC1_HUMAN.H11MO.0.B	0.8052525	ZKSCAN1	More than 3 adjacent zinc finger factors{2.3.3}
ZMIZ1	unknown	TAL1_HUMAN.H11MO.0.A	0.8491	TAL1	Tal-related factors{1.2.3}
ZMYND11	unknown	CTCF_HUMAN.H11MO.0.A	0.615	CTCF	More than 3 adjacent zinc finger factors{2.3.3}
ZNF143	More than 3 adjacent zinc finger factors{2.3.3}	ZNF76_HUMAN.H11MO.0.C	0.8547307692307692	ZNF76	More than 3 adjacent zinc finger factors{2.3.3}
ZNF175	More than 3 adjacent zinc finger factors{2.3.3}	MA1143.1_FOSL1::JUND_var.2	0.6322650000000001	FOSL1:JUND	ambiguous
ZNF207	unknown	CTCFL_HUMAN.H11MO.0.A	0.60444	CTCFL	More than 3 adjacent zinc finger factors{2.3.3}
ZNF217	Factors with multiple dispersed zinc fingers{2.3.4}	GRHL2_HUMAN.H11MO.0.A	0.71067	GRHL2	Grainyhead-related factors{6.7.1}
ZNF24	More than 3 adjacent zinc finger factors{2.3.3}	MA1124.1_ZNF24	0.92993	ZNF24	More than 3 adjacent zinc finger factors{2.3.3}
ZNF263	More than 3 adjacent zinc finger factors{2.3.3}	ZN263_HUMAN.H11MO.1.A	0.87367	ZNF263	More than 3 adjacent zinc finger factors{2.3.3}
ZNF318	unknown	BATF_HUMAN.H11MO.1.A	0.7579	BATF	B-ATF-related factors{1.1.4}
ZNF384	More than 3 adjacent zinc finger factors{2.3.3}	MA1125.1_ZNF384	0.9255150000000001	ZNF384	More than 3 adjacent zinc finger factors{2.3.3}
ZNF589	More than 3 adjacent zinc finger factors{2.3.3}	GATA1_HUMAN.H11MO.0.A	0.68105	GATA1	GATA-type zinc fingers{2.2.1}
ZNF639	Factors with multiple dispersed zinc fingers{2.3.4}	THAP1_HUMAN.H11MO.0.C	0.60369	THAP1	THAP-related factors{2.9.1}
ZNF644	Factors with multiple dispersed zinc fingers{2.3.4}	GATA1_HUMAN.H11MO.0.A	0.68651	GATA1	GATA-type zinc fingers{2.2.1}
ZNF750	unknown	AP2A_HUMAN.H11MO.0.A	0.87543	TFAP2A	AP-2{1.3.1}
ZNF92	More than 3 adjacent zinc finger factors{2.3.3}	NKX61_HUMAN.H11MO.1.B	0.63639	NKX6-1	NK-related factors{3.1.2}
